epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,8.96303,2.33595,4.38051,4.85428,0.01497,5.34312,0.00513,0.04396,0.00326,0.00106,0.00026,0.0022,0.00013,3e-05,2.25134,3.7893,3.73353,0.00865,0,0.00046,0.00046,0.00046
2,15.8176,2.25725,4.39874,4.88757,0.01617,5.32216,0.00718,0.06154,0.00411,0.00128,0.00026,0.0022,0.00013,3e-05,2.35447,3.80238,3.73384,0.00895,0,0.000936898,0.000936898,0.000936898
3,22.8187,1.87403,3.8639,4.9209,0.01099,4.6967,0.01487,0.12747,0.01192,0.00433,0.00872,0.07473,0.0056,0.00139,1.95079,3.79928,3.57626,0.00818,0,0.00141063,0.00141063,0.00141063
4,29.7978,1.62878,3.22969,5.40587,0.01275,3.83298,0.03154,0.27033,0.06438,0.03135,0.03103,0.26593,0.05003,0.01817,1.79302,3.6673,3.48111,0.00657,0,0.00188119,0.00188119,0.00188119
5,36.327,1.53725,3.11854,4.85073,0.01362,3.19733,0.02538,0.21758,0.05284,0.02147,0.02872,0.24615,0.04765,0.01915,1.8045,2.93008,3.32777,0.00659,0,0.0019736,0.0019736,0.0019736
6,43.2955,1.64976,3.10087,4.09807,0.01067,2.64395,0.05795,0.4967,0.19476,0.07498,0.03744,0.32088,0.08703,0.01737,1.8608,4.37154,3.05949,0.00665,0,0.001967,0.001967,0.001967
7,50.309,1.85521,4.45838,3.87246,0.01045,2.11854,0.05795,0.4967,0.19476,0.07498,0.03744,0.32088,0.08703,0.01737,1.8608,4.37154,3.05949,0.00665,0,0.0019604,0.0019604,0.0019604
8,57.0327,1.64188,3.42869,4.46177,0.01183,2.04845,0.07385,0.63297,0.27722,0.12413,0.07385,0.63297,0.27601,0.10961,1.76277,2.55441,2.88047,0.00643,0,0.0019538,0.0019538,0.0019538
9,63.8386,1.71655,3.03419,4.40203,0.01289,1.8912,0.44403,0.27383,0.30991,0.09333,0.3758,0.25934,0.2335,0.06162,1.96694,2.81986,2.85141,0.00712,0,0.0019472,0.0019472,0.0019472
10,70.8289,1.81335,3.05368,4.70088,0.01619,1.70347,0.54432,0.21758,0.33055,0.09791,0.48791,0.21758,0.30362,0.08425,1.85595,2.68808,2.87763,0.0066,0,0.0019406,0.0019406,0.0019406
11,77.7055,1.88445,2.61975,4.5768,0.01544,1.86781,0.54432,0.21758,0.33055,0.09791,0.48791,0.21758,0.30362,0.08425,1.85595,2.68808,2.87763,0.0066,0,0.001934,0.001934,0.001934
12,84.8253,1.63786,2.59865,3.77224,0.01085,1.64111,0.32294,0.47912,0.35321,0.16113,0.31701,0.47033,0.34588,0.1506,1.63066,2.52139,2.6697,0.00572,0,0.0019274,0.0019274,0.0019274
13,91.3931,1.57344,2.62068,4.07358,0.0112,1.51624,0.57937,0.32527,0.41384,0.20841,0.59111,0.33187,0.41703,0.19544,1.56937,2.52002,2.54505,0.00528,0,0.0019208,0.0019208,0.0019208
14,97.7163,1.57099,2.36094,4.34919,0.01246,1.35337,0.61788,0.25495,0.42043,0.21936,0.61801,0.26313,0.41473,0.19901,1.49369,2.48965,2.5227,0.00493,0,0.0019142,0.0019142,0.0019142
15,104.564,1.46525,2.3572,3.55546,0.00938,1.32376,0.61788,0.25495,0.42043,0.21936,0.61801,0.26313,0.41473,0.19901,1.49369,2.48965,2.5227,0.00493,0,0.0019076,0.0019076,0.0019076
16,111.576,1.48769,2.29815,3.91708,0.01184,1.41037,0.52942,0.361,0.41914,0.21397,0.5223,0.36044,0.41023,0.18085,1.54048,2.48736,2.40055,0.00522,0,0.001901,0.001901,0.001901
17,118.272,1.4778,2.37113,4.23946,0.01269,1.28466,0.53178,0.36693,0.42045,0.21446,0.53815,0.37133,0.4144,0.18717,1.53759,2.56803,2.40277,0.00511,0,0.0018944,0.0018944,0.0018944
18,125.344,1.47175,2.4079,3.52472,0.00909,1.41616,0.47057,0.41023,0.42417,0.21906,0.48215,0.40879,0.41526,0.18655,1.5704,2.61186,2.27966,0.00514,0,0.0018878,0.0018878,0.0018878
19,132.547,1.50334,2.35512,3.36379,0.00968,1.19915,0.47057,0.41023,0.42417,0.21906,0.48215,0.40879,0.41526,0.18655,1.5704,2.61186,2.27966,0.00514,0,0.0018812,0.0018812,0.0018812
20,139.75,1.48723,2.22391,3.26692,0.01066,1.1928,0.43984,0.44176,0.44484,0.25242,0.46459,0.44615,0.45054,0.23354,1.56188,2.26918,2.09949,0.00519,0,0.0018746,0.0018746,0.0018746
21,146.346,1.47918,2.34855,3.70143,0.01172,1.33856,0.45975,0.45055,0.45818,0.26155,0.45975,0.45055,0.45529,0.24207,1.53849,2.18863,2.07036,0.00501,0,0.001868,0.001868,0.001868
22,153.106,1.41631,2.21356,3.24275,0.00911,1.22687,0.451,0.48132,0.45462,0.25816,0.48628,0.44835,0.45116,0.23731,1.56815,2.25849,2.06851,0.00506,0,0.0018614,0.0018614,0.0018614
23,160.032,1.47882,2.22526,3.29435,0.0103,1.18265,0.451,0.48132,0.45462,0.25816,0.48628,0.44835,0.45116,0.23731,1.56815,2.25849,2.06851,0.00506,0,0.0018548,0.0018548,0.0018548
24,166.521,1.39912,2.15925,3.48967,0.00944,1.09284,0.47854,0.48608,0.46667,0.26148,0.48915,0.47253,0.46426,0.24757,1.5956,2.22488,2.03931,0.00527,0,0.0018482,0.0018482,0.0018482
25,173.472,1.45005,2.16718,3.31315,0.00913,1.01,0.54082,0.4989,0.51177,0.29047,0.54288,0.5033,0.51751,0.27152,1.63582,2.16253,2.01652,0.00562,0,0.0018416,0.0018416,0.0018416
26,180.359,1.49181,2.3721,2.9122,0.0084,1.24922,0.53868,0.51584,0.50898,0.29068,0.54386,0.52527,0.51708,0.25974,1.56145,2.16057,2.01165,0.00523,0,0.001835,0.001835,0.001835
27,187.048,1.45114,2.19421,3.52641,0.01177,1.17835,0.53868,0.51584,0.50898,0.29068,0.54386,0.52527,0.51708,0.25974,1.56145,2.16057,2.01165,0.00523,0,0.0018284,0.0018284,0.0018284
28,193.814,1.4066,2.0832,2.62624,0.00788,0.97754,0.51074,0.49011,0.50061,0.27203,0.52253,0.48585,0.509,0.2495,1.5293,2.18663,1.99945,0.00492,0,0.0018218,0.0018218,0.0018218
29,200.714,1.46279,2.24682,3.21002,0.00893,1.0837,0.51844,0.46154,0.47646,0.26121,0.52067,0.46154,0.4833,0.2493,1.51078,2.27422,1.99664,0.00494,0,0.0018152,0.0018152,0.0018152
30,207.575,1.4002,2.15961,3.00662,0.00943,1.19778,0.47109,0.54027,0.49769,0.27413,0.46534,0.53368,0.48631,0.23377,1.57516,2.39777,1.86523,0.00523,0,0.0018086,0.0018086,0.0018086
31,214.496,1.48405,2.12776,2.90331,0.00896,1.00106,0.47109,0.54027,0.49769,0.27413,0.46534,0.53368,0.48631,0.23377,1.57516,2.39777,1.86523,0.00523,0,0.001802,0.001802,0.001802
32,221.371,1.42884,2.0585,2.75749,0.00898,1.03892,0.47784,0.54286,0.49809,0.28185,0.47093,0.52747,0.4806,0.23376,1.5636,2.32104,1.85925,0.00527,0,0.0017954,0.0017954,0.0017954
33,227.948,1.36012,2.02736,2.88487,0.01066,0.96026,0.49134,0.52438,0.50641,0.2957,0.48722,0.51999,0.49792,0.26231,1.51347,2.17724,1.82435,0.00514,0,0.0017888,0.0017888,0.0017888
34,234.788,1.38116,2.13575,2.82226,0.01045,0.98439,0.48343,0.5011,0.50862,0.30218,0.47148,0.52308,0.50913,0.27428,1.52082,2.16499,1.80969,0.00502,0,0.0017822,0.0017822,0.0017822
35,241.617,1.36954,2.00236,2.63104,0.00883,1.0665,0.48343,0.5011,0.50862,0.30218,0.47148,0.52308,0.50913,0.27428,1.52082,2.16499,1.80969,0.00502,0,0.0017756,0.0017756,0.0017756
36,248.645,1.36007,2.01696,2.69118,0.00846,0.92175,0.42766,0.52308,0.45569,0.2724,0.41793,0.5033,0.44303,0.22768,1.6121,2.3458,1.91853,0.00544,0,0.001769,0.001769,0.001769
37,255.633,1.33169,1.97456,2.86012,0.00996,0.88182,0.47145,0.51429,0.47157,0.27911,0.43093,0.53407,0.45543,0.22562,1.65416,2.39897,1.92819,0.00564,0,0.0017624,0.0017624,0.0017624
38,262.768,1.41727,2.15581,2.44041,0.00862,0.94136,0.57456,0.46813,0.51016,0.30348,0.4707,0.54724,0.50506,0.26121,1.55993,2.23163,1.90763,0.0053,0,0.0017558,0.0017558,0.0017558
39,269.809,1.29942,1.9395,2.56912,0.00805,0.90113,0.57456,0.46813,0.51016,0.30348,0.4707,0.54724,0.50506,0.26121,1.55993,2.23163,1.90763,0.0053,0,0.0017492,0.0017492,0.0017492
40,276.993,1.45513,2.05372,2.39519,0.00902,0.93815,0.52089,0.54286,0.50514,0.28328,0.50988,0.54945,0.50061,0.24829,1.61014,2.19891,1.97904,0.00542,0,0.0017426,0.0017426,0.0017426
41,283.773,1.36664,2.01233,3.03102,0.01186,0.90265,0.4695,0.56923,0.46974,0.24851,0.46043,0.55824,0.45341,0.20312,1.68989,2.31679,2.16339,0.00571,0,0.001736,0.001736,0.001736
42,291.151,1.38539,1.9746,2.40498,0.00746,0.98287,0.49299,0.52308,0.471,0.25086,0.48056,0.50989,0.44651,0.2066,1.60926,2.2301,2.06191,0.00538,0,0.0017294,0.0017294,0.0017294
43,297.844,1.27313,2.04879,2.92865,0.00976,0.96122,0.49299,0.52308,0.471,0.25086,0.48056,0.50989,0.44651,0.2066,1.60926,2.2301,2.06191,0.00538,0,0.0017228,0.0017228,0.0017228
44,304.697,1.35104,1.97969,2.45923,0.00958,0.90604,0.50585,0.49451,0.46847,0.26141,0.5122,0.5033,0.46986,0.22529,1.58797,2.09614,1.92742,0.00537,0,0.0017162,0.0017162,0.0017162
45,311.536,1.37174,2.09422,2.40605,0.0094,0.95179,0.48783,0.57582,0.4859,0.26449,0.49209,0.57917,0.47954,0.23082,1.56928,2.09058,2.06049,0.00536,0,0.0017096,0.0017096,0.0017096
46,319.24,1.44132,1.93959,2.69134,0.01135,0.92943,0.50884,0.54286,0.47597,0.2577,0.5083,0.54286,0.46546,0.23065,1.59866,2.15732,2.21044,0.00549,0,0.001703,0.001703,0.001703
47,326.403,1.37438,1.87206,2.27325,0.00878,0.91847,0.50884,0.54286,0.47597,0.2577,0.5083,0.54286,0.46546,0.23065,1.59866,2.15732,2.21044,0.00549,0,0.0016964,0.0016964,0.0016964
48,333.517,1.43747,1.93699,2.28372,0.00814,0.81542,0.51204,0.58462,0.49841,0.26601,0.51011,0.58242,0.50474,0.24993,1.62796,2.15472,2.01072,0.00572,0,0.0016898,0.0016898,0.0016898
49,340.242,1.4763,1.97959,2.40714,0.01041,0.89952,0.55155,0.56484,0.54258,0.29371,0.5455,0.57363,0.55009,0.27363,1.53595,2.06732,1.76989,0.0054,0,0.0016832,0.0016832,0.0016832
50,346.877,1.36748,1.90655,2.40301,0.01223,0.97852,0.56965,0.56703,0.56295,0.30924,0.56419,0.58022,0.56498,0.27372,1.55239,2.07514,1.71759,0.00528,0,0.0016766,0.0016766,0.0016766
51,354.025,1.41338,1.97145,2.34935,0.0092,0.93497,0.56965,0.56703,0.56295,0.30924,0.56419,0.58022,0.56498,0.27372,1.55239,2.07514,1.71759,0.00528,0,0.00167,0.00167,0.00167
52,361.092,1.42945,1.90539,2.46983,0.00886,0.78055,0.60005,0.54286,0.55978,0.29971,0.59172,0.53832,0.55474,0.25782,1.59337,2.12642,1.69624,0.00534,0,0.0016634,0.0016634,0.0016634
53,367.975,1.31803,1.89877,2.51182,0.00986,0.81929,0.56809,0.56044,0.56214,0.31054,0.5532,0.55824,0.54541,0.27101,1.56289,2.1509,1.71037,0.00541,0,0.0016568,0.0016568,0.0016568
54,374.879,1.29301,1.88555,2.3084,0.00883,0.86436,0.6262,0.53187,0.58172,0.32389,0.63159,0.51995,0.57686,0.3007,1.60336,2.09483,1.67176,0.00573,0,0.0016502,0.0016502,0.0016502
55,382.251,1.31133,1.71076,2.54481,0.01077,0.84543,0.6262,0.53187,0.58172,0.32389,0.63159,0.51995,0.57686,0.3007,1.60336,2.09483,1.67176,0.00573,0,0.0016436,0.0016436,0.0016436
56,389.518,1.39487,1.96177,2.53533,0.01381,1.03388,0.60081,0.53256,0.5807,0.31926,0.59527,0.53407,0.57506,0.30634,1.62333,2.13267,1.65679,0.00569,0,0.001637,0.001637,0.001637
57,397.199,1.37125,1.93147,2.15726,0.00907,0.9961,0.53361,0.52747,0.53943,0.30045,0.52193,0.52527,0.52852,0.25487,1.53979,2.26261,1.70766,0.00511,0,0.0016304,0.0016304,0.0016304
58,404.311,1.32287,1.89642,2.07158,0.00789,0.92138,0.4895,0.50769,0.49609,0.26986,0.50037,0.50624,0.48919,0.22226,1.59458,2.41847,1.77789,0.00552,0,0.0016238,0.0016238,0.0016238
59,411.179,1.33395,1.87663,2.3866,0.0117,0.825,0.4895,0.50769,0.49609,0.26986,0.50037,0.50624,0.48919,0.22226,1.59458,2.41847,1.77789,0.00552,0,0.0016172,0.0016172,0.0016172
60,418.235,1.35635,1.82457,2.03254,0.00791,0.86692,0.4686,0.52088,0.48475,0.27163,0.48249,0.53407,0.51015,0.23508,1.58031,2.31266,1.76633,0.00537,0,0.0016106,0.0016106,0.0016106
61,424.901,1.25372,1.81653,1.90833,0.00785,0.854,0.55996,0.54725,0.56303,0.32074,0.55512,0.57582,0.58744,0.28588,1.51469,2.17312,1.71774,0.00501,0,0.001604,0.001604,0.001604
62,431.742,1.30427,1.86795,2.09503,0.01013,0.92647,0.61115,0.51648,0.55963,0.31746,0.61048,0.51668,0.56318,0.27031,1.54126,2.19726,1.74942,0.00528,0,0.0015974,0.0015974,0.0015974
63,438.321,1.28022,1.84334,1.93029,0.00858,0.87256,0.61115,0.51648,0.55963,0.31746,0.61048,0.51668,0.56318,0.27031,1.54126,2.19726,1.74942,0.00528,0,0.0015908,0.0015908,0.0015908
64,445.238,1.33683,1.85741,2.0595,0.00894,0.80478,0.62885,0.51209,0.57407,0.32563,0.60105,0.50991,0.56406,0.26569,1.53345,2.23421,1.73586,0.00532,0,0.0015842,0.0015842,0.0015842
65,451.876,1.30587,1.82169,2.03879,0.00793,0.72519,0.59723,0.55385,0.59909,0.33085,0.59001,0.55034,0.5846,0.26876,1.56502,2.19169,1.85287,0.00535,0,0.0015776,0.0015776,0.0015776
66,458.869,1.31032,1.84133,1.92918,0.00795,0.76815,0.60594,0.59121,0.59149,0.32586,0.59693,0.58242,0.58439,0.27448,1.56432,2.11023,1.85544,0.00531,0,0.001571,0.001571,0.001571
67,465.924,1.34246,1.8433,2.03486,0.01039,0.80664,0.60594,0.59121,0.59149,0.32586,0.59693,0.58242,0.58439,0.27448,1.56432,2.11023,1.85544,0.00531,0,0.0015644,0.0015644,0.0015644
68,472.512,1.37648,1.86343,2.04935,0.01283,0.9076,0.55223,0.56484,0.56123,0.30771,0.55155,0.58117,0.56937,0.26487,1.53905,2.02907,1.67408,0.00528,0,0.0015578,0.0015578,0.0015578
