epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,10.7621,2.30436,4.4789,4.91576,0.01236,5.31548,0.00813,0.08026,0.00551,0.0021,0.004,0.03947,0.00235,0.00075,1.96528,3.74788,3.83027,0.0111,0,0.00058,0.00058,0.00058
2,19.544,2.34188,4.5615,5.21509,0.01811,5.36698,0.00853,0.08421,0.00489,0.0016,0.00253,0.025,0.00136,0.00045,2.13727,3.89143,3.8873,0.01194,0,0.00117611,0.00117611,0.00117611
3,28.8231,2.09599,3.86264,4.24614,0.01075,4.80064,0.01987,0.19605,0.01356,0.00466,0.01933,0.19079,0.01302,0.00418,2.30805,3.69408,3.68478,0.0124,0,0.00176825,0.00176825,0.00176825
4,38.6079,1.84069,3.54616,4.22769,0.00999,3.92528,0.02053,0.20263,0.02917,0.00874,0.01213,0.11974,0.01603,0.00415,1.96539,3.94629,3.67615,0.01104,0,0.0019802,0.0019802,0.0019802
5,47.9663,1.91868,3.56013,3.99598,0.00999,3.07789,0.02973,0.29342,0.03928,0.01344,0.02573,0.25395,0.03301,0.01098,1.79565,3.16697,3.40296,0.01044,0,0.0019736,0.0019736,0.0019736
6,57.6089,1.75347,3.09945,4.02264,0.01019,2.41445,0.0596,0.58816,0.18261,0.08254,0.05632,0.55526,0.18442,0.0829,1.80697,3.60595,3.16782,0.01052,0,0.001967,0.001967,0.001967
7,66.806,1.67894,2.73059,3.71703,0.01039,1.96856,0.32572,0.27368,0.25847,0.11731,0.33585,0.28553,0.26203,0.10811,1.6326,3.02622,2.96441,0.00907,0,0.0019604,0.0019604,0.0019604
8,75.8396,1.71899,2.60393,3.46131,0.01035,1.82527,0.31419,0.30682,0.26606,0.12524,0.30725,0.32237,0.27737,0.13595,1.5125,2.59678,2.86512,0.00817,0,0.0019538,0.0019538,0.0019538
9,85.1406,1.62602,2.62585,3.53389,0.01,1.72202,0.31419,0.30682,0.26606,0.12524,0.30725,0.32237,0.27737,0.13595,1.5125,2.59678,2.86512,0.00817,0,0.0019472,0.0019472,0.0019472
10,93.9561,1.6243,3.11933,4.25034,0.01097,1.50091,0.34544,0.31711,0.29038,0.15403,0.32485,0.33158,0.29532,0.14099,1.45765,2.47269,2.85871,0.00769,0,0.0019406,0.0019406,0.0019406
11,102.955,1.51402,2.45824,3.11362,0.00765,1.42023,0.40649,0.33421,0.33473,0.17218,0.41838,0.33695,0.34294,0.18333,1.38128,2.16612,2.64973,0.00706,0,0.001934,0.001934,0.001934
12,112.03,1.52751,2.33941,3.59556,0.01048,1.39688,0.45789,0.275,0.33203,0.16261,0.49474,0.26842,0.34021,0.18018,1.52926,2.20721,2.74329,0.0076,0,0.0019274,0.0019274,0.0019274
13,121.467,1.53948,2.39756,3.19313,0.00882,1.3603,0.45405,0.31974,0.34829,0.19363,0.46685,0.32237,0.35845,0.18419,1.40001,2.13291,2.58075,0.00728,0,0.0019208,0.0019208,0.0019208
14,130.657,1.4997,2.29638,3.01638,0.00707,1.25971,0.40598,0.38684,0.3553,0.20073,0.41565,0.39605,0.36723,0.19282,1.37775,2.11106,2.52566,0.00719,0,0.0019142,0.0019142,0.0019142
15,140.142,1.55518,2.19195,3.29723,0.00784,1.30493,0.36457,0.43421,0.35268,0.20591,0.37524,0.42895,0.35837,0.19184,1.39318,2.10942,2.43999,0.00755,0,0.0019076,0.0019076,0.0019076
16,149.528,1.50871,2.25869,2.92214,0.0079,1.19401,0.42745,0.38684,0.37275,0.22922,0.42762,0.4,0.38805,0.20051,1.41124,2.08529,2.31736,0.00774,0,0.001901,0.001901,0.001901
17,158.74,1.52099,2.15531,3.01956,0.00854,1.11978,0.49611,0.40263,0.43444,0.26379,0.50099,0.4,0.43535,0.2326,1.35243,2.11525,2.12209,0.00762,0,0.0018944,0.0018944,0.0018944
18,167.762,1.55024,2.18693,3.60228,0.00943,1.19445,0.4961,0.40526,0.417,0.24709,0.49449,0.40395,0.41781,0.21164,1.37465,2.04763,2.12439,0.00778,0,0.0018878,0.0018878,0.0018878
19,176.673,1.49309,2.03381,2.84685,0.0089,1.14077,0.46658,0.44196,0.42282,0.25119,0.47816,0.43684,0.42196,0.21262,1.41152,1.99293,2.14733,0.00811,0,0.0018812,0.0018812,0.0018812
20,185.947,1.51961,2.29782,2.77286,0.0073,1.26587,0.5312,0.43026,0.44523,0.24996,0.53264,0.42763,0.44375,0.23051,1.42575,1.91489,2.16993,0.00805,0,0.0018746,0.0018746,0.0018746
21,195.448,1.52066,2.19377,2.64961,0.00711,1.15602,0.54802,0.47861,0.48829,0.28702,0.53965,0.46842,0.48217,0.25445,1.40565,1.92101,2.06096,0.00776,0,0.001868,0.001868,0.001868
22,204.342,1.43149,2.12667,2.96701,0.0091,1.08245,0.50345,0.50921,0.47457,0.29227,0.50017,0.51053,0.47117,0.24745,1.37913,1.94537,2.07825,0.00764,0,0.0018614,0.0018614,0.0018614
23,213.513,1.40116,1.94735,2.3859,0.00696,1.01638,0.49865,0.51447,0.48094,0.299,0.50067,0.51842,0.48095,0.25188,1.38326,1.94836,2.0465,0.00768,0,0.0018548,0.0018548,0.0018548
24,222.591,1.50648,2.15539,2.86216,0.00842,1.09649,0.48855,0.51184,0.47243,0.29714,0.4898,0.51316,0.46685,0.24069,1.33915,1.92153,1.97512,0.00713,0,0.0018482,0.0018482,0.0018482
25,231.31,1.40606,1.98272,2.49122,0.00786,0.96588,0.48855,0.51184,0.47243,0.29714,0.4898,0.51316,0.46685,0.24069,1.33915,1.92153,1.97512,0.00713,0,0.0018416,0.0018416,0.0018416
26,240.403,1.42222,2.03363,2.65509,0.00795,1.02749,0.51328,0.49605,0.47816,0.28844,0.51486,0.48315,0.47286,0.24976,1.33706,1.94995,2.05023,0.00687,0,0.001835,0.001835,0.001835
27,249.63,1.48206,2.11056,2.49527,0.00746,0.99549,0.5189,0.45658,0.45813,0.27426,0.52638,0.46316,0.46516,0.23553,1.35271,1.96209,2.08862,0.00679,0,0.0018284,0.0018284,0.0018284
28,258.703,1.3898,2.10996,2.41567,0.00757,1.06637,0.5379,0.42732,0.43743,0.2574,0.53856,0.42232,0.43596,0.21922,1.33798,1.95944,2.26605,0.00646,0,0.0018218,0.0018218,0.0018218
29,268.154,1.43257,2.00278,2.24367,0.00658,0.84123,0.52664,0.45789,0.46704,0.2807,0.52815,0.45921,0.46314,0.23102,1.30279,1.93751,2.07208,0.00659,0,0.0018152,0.0018152,0.0018152
30,277.558,1.49627,2.1358,2.25356,0.00745,1.0213,0.48448,0.53543,0.46616,0.28031,0.48021,0.53421,0.4586,0.23015,1.34764,1.93667,1.93441,0.0069,0,0.0018086,0.0018086,0.0018086
31,286.42,1.42845,2.0382,2.37307,0.00784,1.02395,0.54209,0.53289,0.49786,0.29664,0.53754,0.52895,0.48373,0.24226,1.35171,1.91323,1.89911,0.00701,0,0.001802,0.001802,0.001802
32,295.375,1.45756,2.07304,2.28707,0.00787,1.08396,0.54213,0.51184,0.49759,0.31561,0.54213,0.51184,0.49379,0.24372,1.29358,1.89266,1.87209,0.00643,0,0.0017954,0.0017954,0.0017954
33,304.399,1.47025,2.13599,2.60016,0.00805,0.9385,0.53843,0.48947,0.4908,0.30596,0.5283,0.48026,0.4743,0.23937,1.2674,1.90968,1.89185,0.00614,0,0.0017888,0.0017888,0.0017888
