epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,3.53453,2.70623,4.37791,3.86314,0.00838,5.39649,0.006,0.02839,0.00325,0.00149,0.002,0.00946,0.00101,0.00044,2.30407,4.01004,3.49051,0.00713,0,6e-05,6e-05,6e-05
2,5.99254,2.36123,4.15743,4.13625,0.01353,5.38862,0.00733,0.0347,0.00445,0.00177,0.002,0.00946,0.00102,0.00037,2.25768,3.85018,3.46914,0.0068,0,0.000139538,0.000139538,0.000139538
3,8.68284,2.60668,4.09813,3.84512,0.00805,5.25295,0.00667,0.03155,0.00377,0.00166,0.00333,0.01577,0.0017,0.00037,2.25271,3.79302,3.46874,0.00688,0,0.000218548,0.000218548,0.000218548
4,10.9825,2.25736,4.04906,3.93574,0.00926,5.27571,0.008,0.03785,0.0094,0.00308,0.004,0.01893,0.00205,0.00054,2.25956,3.70001,3.45112,0.00697,0,0.00029703,0.00029703,0.00029703
5,13.751,2.56416,4.25194,3.74936,0.00762,5.39004,0.02267,0.10726,0.01572,0.00776,0.018,0.08517,0.01576,0.00487,2.13269,3.2609,3.3172,0.00676,0,0.000374984,0.000374984,0.000374984
6,16.3884,2.21871,3.48877,3.62953,0.00687,4.73252,0.034,0.16088,0.03462,0.01629,0.032,0.15142,0.03601,0.01121,2.12006,3.10871,3.30925,0.00649,0,0.00045241,0.00045241,0.00045241
7,19.0106,2.04665,3.19457,3.60419,0.00688,4.19485,0.034,0.16088,0.03462,0.01629,0.032,0.15142,0.03601,0.01121,2.12006,3.10871,3.30925,0.00649,0,0.000529308,0.000529308,0.000529308
8,21.5026,1.91105,2.94179,3.5907,0.0067,3.50882,0.038,0.17981,0.03533,0.01407,0.04133,0.19558,0.03823,0.01307,2.11114,2.99345,3.30043,0.00628,0,0.000605678,0.000605678,0.000605678
9,24.256,2.03429,3.31126,3.45919,0.00521,3.2165,0.03667,0.1735,0.02912,0.01274,0.03333,0.15773,0.0303,0.00897,1.98379,2.98067,3.29535,0.00592,0,0.00068152,0.00068152,0.00068152
10,26.8632,1.87055,2.73215,3.36328,0.00511,2.68468,0.03667,0.1735,0.02912,0.01274,0.03333,0.15773,0.0303,0.00897,1.98379,2.98067,3.29535,0.00592,0,0.000756834,0.000756834,0.000756834
11,29.429,1.71365,2.65863,3.41404,0.00582,2.67141,0.02867,0.13565,0.03078,0.01613,0.026,0.12303,0.02995,0.01159,1.96873,2.93468,3.27434,0.0057,0,0.00083162,0.00083162,0.00083162
12,32.294,1.71354,2.56623,3.20153,0.00416,2.4765,0.02867,0.13565,0.03078,0.01613,0.026,0.12303,0.02995,0.01159,1.96873,2.93468,3.27434,0.0057,0,0.000905878,0.000905878,0.000905878
13,34.7388,1.63385,2.60691,3.26937,0.00517,2.16873,0.02667,0.12618,0.03144,0.01282,0.024,0.11356,0.02793,0.00758,1.89023,2.9425,3.27559,0.00528,0,0.000979608,0.000979608,0.000979608
14,37.6226,1.86407,2.63562,3.14808,0.0042,2.10179,0.02667,0.12618,0.03144,0.01282,0.024,0.11356,0.02793,0.00758,1.89023,2.9425,3.27559,0.00528,0,0.00105281,0.00105281,0.00105281
15,40.2122,1.57427,2.45006,3.14972,0.00509,1.96314,0.01867,0.08833,0.02194,0.01075,0.01867,0.08833,0.02259,0.00705,1.9129,2.82167,3.19111,0.00516,0,0.00112548,0.00112548,0.00112548
16,42.8734,1.73018,2.51848,2.94449,0.00479,1.72403,0.01867,0.08833,0.02194,0.01075,0.01867,0.08833,0.02259,0.00705,1.9129,2.82167,3.19111,0.00516,0,0.00119763,0.00119763,0.00119763
